,geoid10,population,supermarket
691,245100402001030,,1163.4
692,245100402001031,123.0,1194.3
693,245100402001032,,1332.4
694,245100402001033,,1282.2
695,245100601001000,120.0,301.4
696,245100601001001,255.0,320.6
697,245100601001002,17.0,423.1
698,245100601001003,100.0,499.0
699,245100601001004,38.0,501.3
700,245100601001005,,374.1
701,245100601001006,174.0,402.6
702,245100601001007,21.0,309.9
703,245100601002000,202.0,346.5
704,245100601002001,142.0,418.9
705,245100601002002,164.0,476.8
706,245100601002003,148.0,543.6
707,245100601002004,92.0,674.6
708,245100601002005,94.0,607.7
709,245100601002006,121.0,549.2
710,245100601002007,165.0,475.8
711,245100601003000,166.0,598.4
712,245100601003001,129.0,664.6
713,245100601003002,107.0,714.4
714,245100601003003,96.0,848.3
715,245100601003004,99.0,799.5
716,245100601003005,106.0,729.4
717,245100601004000,146.0,555.2
718,245100601004001,144.0,621.1
719,245100601004002,130.0,588.6
720,245100601004003,99.0,657.9
721,245100601004004,67.0,601.8
722,245100601004005,80.0,525.2
723,245100601004006,,495.6
724,245100601004007,,599.6
725,245100602001000,140.0,522.8
726,245100602001001,61.0,635.2
727,245100602001002,80.0,584.0
728,245100602001003,118.0,468.2
729,245100602001004,136.0,401.0
730,245100602001005,,496.2
731,245100602001006,,599.2
732,245100602001007,,650.8
733,245100602001008,,689.2
734,245100602002000,110.0,780.1
735,245100602002001,101.0,734.4
736,245100602002002,117.0,661.3
737,245100602002003,85.0,795.0
738,245100602002004,21.0,832.1
739,245100602002005,107.0,912.0
740,245100602003000,130.0,611.8
741,245100602003001,134.0,545.8
742,245100602003002,142.0,544.9
743,245100602003003,110.0,678.5
744,245100602003004,112.0,678.2
745,245100602003005,90.0,746.6
746,245100602004000,107.0,346.5
747,245100602004001,85.0,399.3
748,245100602004002,85.0,528.8
749,245100602004003,144.0,475.4
750,245100602004004,148.0,614.4
751,245100602004005,108.0,667.1
752,245100602004006,83.0,797.6
753,245100602004007,70.0,748.0
754,245100602005000,128.0,346.0
755,245100602005001,86.0,278.1
756,245100602005002,107.0,276.4
757,245100602005003,101.0,406.4
758,245100602005004,121.0,406.4
759,245100602005005,98.0,473.6
760,245100603001000,99.0,466.7
761,245100603001001,54.0,517.7
762,245100603001002,47.0,648.2
763,245100603001003,68.0,648.2
764,245100603001004,47.0,736.5
765,245100603001005,75.0,787.5
766,245100603001006,37.0,916.8
767,245100603001007,65.0,864.2
768,245100603001008,34.0,757.0
769,245100603001009,39.0,744.1
770,245100603001010,56.0,656.8
771,245100603001011,39.0,582.8
772,245100603001012,10.0,725.2
773,245100603001013,27.0,811.6
774,245100603002000,147.0,736.0
775,245100603002001,104.0,784.3
776,245100603002002,26.0,785.9
777,245100603002003,66.0,887.0
778,245100603002004,54.0,956.0
779,245100603002005,14.0,918.9
780,245100603002006,24.0,824.7
781,245100603002007,10.0,876.5
